iter	Passed	Remaining
647	940	510
648	942	509
649	943	508
650	944	506
651	945	504
652	947	503
653	949	502
654	951	501
655	952	499
656	953	498
657	955	496
658	956	494
659	957	493
660	958	491
661	960	490
662	961	488
663	963	487
664	965	486
665	966	484
666	968	483
667	969	481
668	970	480
669	972	478
670	973	477
671	974	475
672	975	474
673	976	472
674	978	471
675	980	469
676	982	468
677	983	467
678	984	465
679	986	464
680	987	462
681	989	461
682	990	459
683	991	458
684	992	456
685	994	455
686	996	453
687	997	452
688	999	450
689	1000	449
690	1002	448
691	1004	447
692	1005	445
693	1007	444
694	1008	442
695	1010	441
696	1012	440
697	1013	438
698	1015	437
699	1017	436
700	1018	434
701	1020	433
702	1021	431
703	1023	430
704	1024	428
705	1026	427
706	1027	425
707	1029	424
708	1030	423
709	1032	421
710	1033	420
711	1035	418
712	1036	417
713	1037	415
714	1039	414
715	1041	413
716	1043	411
717	1044	410
718	1046	409
719	1047	407
720	1049	406
721	1050	404
722	1052	403
723	1053	401
724	1054	399
725	1056	398
726	1058	397
727	1059	395
728	1060	394
729	1062	392
730	1063	391
731	1064	389
732	1066	388
733	1067	386
734	1068	385
735	1069	383
736	1071	382
737	1073	381
738	1074	379
739	1076	378
740	1077	376
741	1078	375
742	1080	373
743	1081	372
744	1082	370
745	1084	369
746	1085	367
747	1087	366
748	1090	365
749	1091	363
750	1093	362
751	1095	361
752	1096	359
753	1098	358
754	1099	356
755	1101	355
756	1103	354
757	1105	352
758	1107	351
759	1108	350
760	1110	348
761	1112	347
762	1113	346
763	1115	344
764	1117	343
765	1120	342
766	1122	340
767	1123	339
768	1125	338
769	1127	336
770	1128	335
771	1130	333
772	1132	332
773	1133	331
774	1135	329
775	1137	328
776	1139	327
777	1141	325
778	1142	324
779	1144	322
780	1145	321
781	1147	319
782	1148	318
783	1150	317
784	1152	315
785	1154	314
786	1156	312
787	1157	311
788	1159	310
789	1161	308
790	1162	307
791	1164	305
792	1166	304
793	1168	303
794	1170	301
795	1172	300
796	1174	299
797	1175	297
798	1177	296
799	1179	294
800	1181	293
801	1183	292
802	1185	290
803	1186	289
804	1188	287
805	1190	286
806	1191	285
807	1193	283
808	1194	282
809	1197	280
810	1199	279
811	1201	278
812	1203	276
813	1204	275
814	1206	273
815	1207	272
816	1209	270
817	1210	269
818	1212	268
819	1214	266
820	1215	265
821	1217	263
822	1219	262
823	1220	260
824	1221	259
825	1223	257
826	1224	256
827	1225	254
828	1226	253
829	1228	251
830	1230	250
831	1231	248
832	1233	247
833	1234	245
834	1235	244
835	1236	242
836	1238	241
837	1239	239
838	1240	238
839	1241	236
840	1243	235
841	1245	233
842	1246	232
843	1248	230
844	1249	229
845	1250	227
846	1251	226
847	1253	224
848	1254	223
849	1255	221
850	1257	220
851	1258	218
852	1260	217
853	1261	215
854	1263	214
855	1264	212
856	1265	211
857	1267	209
858	1268	208
859	1269	206
860	1271	205
861	1273	203
862	1274	202
863	1276	200
864	1278	199
865	1279	198
866	1281	196
867	1282	194
868	1283	193
869	1284	191
870	1286	190
871	1287	188
872	1288	187
873	1290	185
874	1291	184
875	1293	183
876	1294	181
877	1296	180
878	1298	178
879	1299	177
880	1301	175
881	1302	174
882	1304	172
883	1306	171
884	1308	169
885	1309	168
886	1311	167
887	1313	165
888	1315	164
889	1316	162
890	1318	161
891	1319	159
892	1321	158
893	1323	156
894	1325	155
895	1326	153
896	1328	152
897	1329	151
898	1331	149
899	1332	148
900	1333	146
901	1334	145
902	1336	143
903	1338	142
904	1339	140
905	1341	139
906	1342	137
907	1344	136
908	1345	134
909	1346	133
910	1348	131
911	1349	130
912	1350	128
913	1352	127
914	1354	125
915	1355	124
916	1357	122
917	1358	121
918	1360	119
919	1361	118
920	1362	116
921	1363	115
922	1365	113
923	1366	112
924	1367	110
925	1369	109
926	1371	108
927	1373	106
928	1374	105
929	1376	103
930	1377	102
931	1379	100
932	1380	99
933	1381	97
934	1383	96
935	1385	94
936	1387	93
937	1388	91
938	1390	90
939	1391	88
940	1392	87
941	1394	85
942	1395	84
943	1397	82
944	1398	81
945	1400	79
946	1402	78
947	1404	77
948	1405	75
949	1407	74
950	1408	72
951	1410	71
952	1411	69
953	1412	68
954	1413	66
955	1415	65
956	1417	63
957	1418	62
958	1420	60
959	1421	59
960	1423	57
961	1424	56
962	1425	54
963	1427	53
964	1428	51
965	1429	50
966	1431	48
967	1432	47
